name,description,image,animation_url,external_url,background_color,youtube_url,Flystyle,Rarity
Flying People #0,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/0.png,http://159.223.205.1:3000/dnft-images/0.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #1,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/1.png,http://159.223.205.1:3000/dnft-images/1.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #2,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/2.png,http://159.223.205.1:3000/dnft-images/2.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #3,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/3.png,http://159.223.205.1:3000/dnft-images/3.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #4,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/4.png,http://159.223.205.1:3000/dnft-images/4.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #5,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/5.png,http://159.223.205.1:3000/dnft-images/5.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #6,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/6.png,http://159.223.205.1:3000/dnft-images/6.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #7,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/7.png,http://159.223.205.1:3000/dnft-images/7.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #8,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/8.png,http://159.223.205.1:3000/dnft-images/8.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #9,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/9.png,http://159.223.205.1:3000/dnft-images/9.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #10,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/10.png,http://159.223.205.1:3000/dnft-images/10.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #11,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/11.png,http://159.223.205.1:3000/dnft-images/11.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #12,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/12.png,http://159.223.205.1:3000/dnft-images/12.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #13,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/13.png,http://159.223.205.1:3000/dnft-images/13.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #14,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/14.png,http://159.223.205.1:3000/dnft-images/14.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #15,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/15.png,http://159.223.205.1:3000/dnft-images/15.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #16,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/16.png,http://159.223.205.1:3000/dnft-images/16.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #17,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/17.png,http://159.223.205.1:3000/dnft-images/17.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #18,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/18.png,http://159.223.205.1:3000/dnft-images/18.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #19,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/19.png,http://159.223.205.1:3000/dnft-images/19.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #20,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/20.png,http://159.223.205.1:3000/dnft-images/20.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #21,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/21.png,http://159.223.205.1:3000/dnft-images/21.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #22,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/22.png,http://159.223.205.1:3000/dnft-images/22.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
Flying People #23,People Flying at the speed of Trust,http://159.223.205.1:3000/dnft-images/23.png,http://159.223.205.1:3000/dnft-images/23.png,https://flyingpeople.org/,#ffffff,,TBA,Legendary
